Country,GDP (constant 2005 US$),GDP per capita (constant 2005 US$),"Population, total","Life expectancy at birth, female (years)","Literacy rate, adult total (% of people ages 15 and above)","Malnutrition prevalence, weight for age (% of children under 5)","Hospital beds (per 1,000 people)","Health expenditure, total (% of GDP)"
Tajikistan,3181403840,417.1060527,7627326,70.376,..,..,..,5.982134545
Tanzania,19720449299,451.5468171,44973330,60.307,67.80069733,16.20000076,0.7,7.1931781
Thailand,2.10E+11,3163.903845,66402316,77.246,96.4309082,..,2.1,3.809092709
Timor-Leste,732847298.6,687.2103467,1066409,67.5,58.30898285,..,5.9,5.625601243
Togo,2477349486,392.8550565,6306014,56.272,..,16.5,..,7.45503004
Tonga,268854243,2582.70325,104098,75.159,..,..,2.6,4.801800106
Trinidad and Tobago,18988955441,14297.88941,1328095,73.257,..,..,2.1,5.192843463
Tunisia,40735443535,3861.5089,10549100,76.6,79.13057709,..,2.1,6.661048286
Turkey,5.65E+11,7833.528585,72137546,77.773,92.66059875,..,2.5,6.751313228
Turkmenistan,13272686025,2632.427447,5041995,69.314,..,..,..,2.131222828
Turks and Caicos Islands,..,..,30993,..,..,..,..,..
Tuvalu,23813390.63,2423.261486,9827,..,..,..,..,13.5636839
Uganda,13362034649,393.1488778,33987213,58.198,73.21188354,..,0.5,9.174814925
Ukraine,90577255848,1974.621182,45870700,75.5,..,..,..,7.807533521
United Arab Emirates,2.04E+11,24219.29765,8441537,77.623,..,..,..,3.238787955
United Kingdom,2.36E+12,37600.2934,62766365,82.4,..,..,2.98,9.550428326
United States,1.36E+13,43952.43655,309326295,81,..,..,3,17.65720729
Uruguay,22899299770,6791.050418,3371982,80.198,98.07270813,..,1.2,8.665488824
Uzbekistan,21491158366,752.4283102,28562400,71.25,..,..,4.4,5.351251711
Vanuatu,503575271.4,2131.093536,236299,72.859,..,..,..,4.675151956
"Venezuela, RB",1.75E+11,6010.079789,29043283,77.217,..,..,..,4.714639753
Vietnam,78282167938,900.4936927,86932500,80.174,..,12,2,6.92893215
Virgin Islands (U.S.),..,..,106267,82.4,..,..,..,..
West Bank and Gaza,4836140076,1268.961071,3811102,74.342,94.93201447,..,..,..
"Yemen, Rep.",19989098341,878.1395825,22763008,63.886,..,..,0.7,5.128533974
Zambia,9799629000,741.4420914,13216985,55.764,..,..,2,6.130861077
Zimbabwe,5202304268,397.8215967,13076978,53.819,..,10.10000038,..,..
